created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 31 05:47:56 +0000 2023;1719229696783884609;"tanggal pemungutan suara, ajakan ke TPS, menyosialisasikan Peserta Pemilu 2024, menyosialisasikan https://t.co/NVv5IbODwq, serta membagikan bahan sosialisasi lainnya.  Hingga saat ini, Tim I telah menjangkau 7 provinsi, 39 Kabupaten/Kota, 377 Kecamatan dan 96.703 orang --";0;1;0;0;in;2413697946;1719229638390775860;KPU_ID;https://twitter.com/KPU_ID/status/1719229696783884609
Tue Oct 31 05:47:55 +0000 2023;1719229695508799564;"Kaum muda memiliki peran penting dalam mencapai visi negara maju #ArsjadRasjid #InklusifKolaboratif #Pemilu2024";0;0;0;0;in;1504761230916943875;1719229695508799564;RachmansyahVito;https://twitter.com/RachmansyahVito/status/1719229695508799564
Tue Oct 31 05:47:49 +0000 2023;1719229669038489899;"@ZulkifliLubis69 @aniesbaswedan @prabowo @ganjarpranowo @gibran_tweet Yang dihadapi saat Pemilu 2024 bukan Capres kaleng2, kalo mereka mencoba curang akan ada harga yang mahal dibatat Mereka karena taruhannya Bangsa dan Negara Indonesia";0;0;0;0;in;228561850;1718895996355371368;mhidayat72;https://twitter.com/mhidayat72/status/1719229669038489899
Tue Oct 31 05:47:43 +0000 2023;1719229641842717095;"Tantangan geopolitik global seperti perang Rusia-Ukraina dan konflik di Gaza menjadi isu penting yang harus dihadapi Indonesia #arsjadrasjid Ketua Kadin #Pemilu2024 #inklusifkolaboratif  https://t.co/F7hukf1eDP";0;0;0;0;in;1594525465817251840;1719229641842717095;AyuandiraGusti1;https://twitter.com/AyuandiraGusti1/status/1719229641842717095
Tue Oct 31 05:47:42 +0000 2023;1719229638390775860;"#TemanPemilih, kamu perlu tahu, Tim I Kirab Pemilu 2024 (Titik Awal Aceh) melakukan sosialisasi kepemiluan di Kab Lampung Selatan, Provinsi Lampung pada tanggal 13 Oktober sampai dengan 21 Oktober 2023. https://t.co/u8geW2kEU9";0;1;0;0;in;2413697946;1719229638390775860;KPU_ID;https://twitter.com/KPU_ID/status/1719229638390775860
Tue Oct 31 05:47:40 +0000 2023;1719229630329348321;"Keputusan ini adalah panggilan untuk bersatu dalam mencapai visi besar #ArsjadRasjid #InklusifKolaboratif #Pemilu2024";0;0;0;0;in;1504747832565063688;1719229630329348321;AdhimRohani;https://twitter.com/AdhimRohani/status/1719229630329348321
Tue Oct 31 05:47:29 +0000 2023;1719229586993779064;"Kecepatan dalam pembangunan adalah tantangan yang bisa diatasi dengan pemimpin yang tepat #ArsjadRasjid #InklusifKolaboratif #Pemilu2024";0;0;0;0;in;1504747832565063688;1719229586993779064;AdhimRohani;https://twitter.com/AdhimRohani/status/1719229586993779064
Tue Oct 31 05:47:15 +0000 2023;1719229527237578892;"Indonesia Emas adalah impian yang bisa diwujudkan dengan kerja sama #ArsjadRasjid #InklusifKolaboratif #Pemilu2024";0;0;0;0;in;1504730924537155585;1719229527237578892;AdamHernando_;https://twitter.com/AdamHernando_/status/1719229527237578892
Tue Oct 31 05:47:10 +0000 2023;1719229504248496618;"Salah satu kunci suksesnya Pemilu 2024 adalah tingginya partisipasi dari masyarakat. Berbagai upaya akan dilakukan pemerintah, khususnya kepada pemilih pemula untuk ikut mewarnai pesta demokrasi 2024. #SukseskanPemilu2024 #PemiluTanpaHoaks #PemiluTanpaPolitikIdentitas #Pemilu https://t.co/7IasM70tNi";0;0;0;0;in;312852705;1719229504248496618;Nomahbirashn;https://twitter.com/Nomahbirashn/status/1719229504248496618
Tue Oct 31 05:47:05 +0000 2023;1719229485588029874;"Pilihlah pemimpin yang memiliki visi dan komitmen untuk kemajuan Indonesia #ArsjadRasjid #InklusifKolaboratif #Pemilu2024";0;0;0;0;in;1504730924537155585;1719229485588029874;AdamHernando_;https://twitter.com/AdamHernando_/status/1719229485588029874
